AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,HOUSEHOLD_KEY
65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1
25-34,U,50-74K,Homeowner,Single Male,1,None/Unknown,2
25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,3
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,4
25-34,U,75-99K,Unknown,2 Adults No Kids,2,None/Unknown,5
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,6
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,7
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,8
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,9
35-44,U,75-99K,Homeowner,2 Adults Kids,3,1,10
19-24,A,35-49K,Renter,2 Adults No Kids,2,None/Unknown,11
25-34,B,50-74K,Unknown,Single Male,1,None/Unknown,12
25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,13
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,14
45-54,U,15-24K,Unknown,Single Male,1,None/Unknown,15
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,16
65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,17
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,18
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,19
25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,20
35-44,A,125-149K,Renter,Single Female,2,None/Unknown,21
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,22
55-64,U,Under 15K,Probable Renter,Single Male,1,None/Unknown,23
65+,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,24
35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,25
19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,26
45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,27
55-64,U,25-34K,Renter,2 Adults Kids,3,1,28
45-54,A,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,29
